id,title,topic,module,body,managerial_phrasing,common_mistake,status,updated
py-variables-types,"Variables, assignment, and types",Python: dose 1 (s3),python-reading,"- A variable is a labeled value: revenue = 48_500_000. Assignment (=) stores; it doesn't compare.
- Types matter because operations depend on them: the number 48500000 can grow by 4%; the text ""48.5M"" cannot.
- The course's founding example: a price stored as ""$249,310"" won't average — the dollar sign makes it text. Types are why the cleaning chain exists.
- Text in quotes is a string; numbers without quotes compute. A date stored as text sorts alphabetically, not chronologically.","When a computation refuses to run or gives nonsense, ask first: is this column stored as text or as a number?","Reading '$249,310' as a number because it looks like one. Formatting characters make it text, and every average built on it fails or lies.",core,8/23/26
py-function-vs-method,Function call vs method call,Python: dose 1 (s3),python-reading,"- Function call: name(thing) — pd.read_csv('file.csv'). The tool comes first, the object goes inside.
- Method call: thing.action() — df['price'].mean(). The object comes first; the dot means 'do this to it.'
- Chains read left to right: df['price'].str.replace('$','').astype(float) is three actions applied in sequence.","Read the dot as 'then': take the column, then strip the symbol, then convert to number.","Reading a method chain right to left, or treating the chain as one magic word instead of a sequence of separate, checkable steps.",core,8/23/26
py-booleans-masks,"Booleans, comparisons, and filtering with masks",Python: dose 2 (s4),python-reading,"- A comparison (==, >=, >) produces True or False — a value you can store: is_profitable = margin > 0.
- A boolean mask asks the comparison of every row at once: df['beds'] >= 4 is a column of True/False.
- df[mask] keeps only the True rows. Two conditions combine with & and parentheses: df[(df['school']=='Apple Valley') & (df['beds']>=4)].
- Excel anchor: this is Filter, written down — which makes it auditable and repeatable.",Filtering is asking a true/false question of every row and keeping the yeses.,"Using = (assignment) where == (comparison) is meant, and forgetting parentheses around each condition when combining with &.",core,8/23/26
py-missing-values,Missing values: the isna/dropna decision,Python: dose 2 (s4),python-reading,"- .isna() / .notna() find the holes; .dropna() removes rows containing them.
- Dropping is a decision, not hygiene: you must know how many rows leave and whether they differ systematically from the rows that stay.
- The protocol: count missing per column → ask why they're missing → then choose drop, fill, or keep-and-flag — and write the choice down.
- In Eastville, house 8's age is genuinely blank: your first real missing-data decision.","Before removing incomplete rows: how many are we losing, and are they a random few or a biased slice?","Calling dropna() reflexively. If missingness is concentrated (older homes, defaulters), dropping quietly rewrites the population you're studying.",core,8/23/26
py-lists-dicts,Lists and dictionaries,Python: dose 3 (s5),python-reading,"- A list is ordered items in brackets: quarters = [""Q1"",""Q2"",""Q3"",""Q4""]. Grows with .extend().
- A dictionary is labeled values in braces: {""KO"": 120, ""MSFT"": 40} — labels beat positions. Access by key: portfolio[""KO""].
- Why you care: APIs answer in dictionaries (one dict per record), and pd.DataFrame(records) turns a list of dicts into a table.
- One customer record from any CRM export is a dict: {""name"": ..., ""segment"": ..., ""ltv"": ...}.",A dict is one record with named fields; a list of dicts is a table waiting to happen.,"Confusing brackets and braces, or trying to grab a dict value by position instead of by its key.",core,8/23/26
py-for-loops,The for loop,Python: dose 3 (s5),python-reading,"- for item in collection: repeats the indented block once per item — the same work applied to each element.
- The founding use: the API answers in pages; the loop fetches every page and .extend()s one list until the data is complete.
- Other canonical uses: run the same market summary for three cities; check every column for missing values (the audit loop).
- The loop returns at s10 (for amenity in [...]) and comes full circle at s21 (for model in models:) — same construct, bigger objects.","A loop is 'do this same thing for each of these' — if you'd copy-paste a block three times, a loop is the honest version.","Forgetting that only the indented lines repeat, and accumulating results by overwriting a variable instead of extending a list.",core,8/23/26
py-fstrings,f-strings: numbers into sentences,Python: dose 4 (s6),python-reading,"- f""Typical Eastville home: ${median:,.0f}"" injects a computed value into a sentence; the :,.0f formats with commas, no decimals.
- Every number needs a caption — a number without a sentence is not yet an answer.
- Inside a loop, f-strings caption at scale: f""{school}: {n} homes, avg ${avg:,.0f}"".
- Honest captions label trust level too: f""Basement premium: ${prem:,.0f} (naive)"".",Numbers don't speak; captions do. The f-string is where a computation becomes a claim.,"Hard-coding the number into the sentence — when the data changes, the prose silently lies.",core,8/23/26
py-if-sanity,if — the sanity check,Python: dose 4 (s6),python-reading,"- if condition: runs its block only when the condition is True.
- Its course role is the guard: if len(df) != 108: print(""⚠ row count off"") after every load; if df['price'].min() <= 0: print(""⚠ impossible price"").
- Self-checking code is the course thesis in one line: your notebook should catch its own problems before you present them.
- Also drives caption logic: if mean > median: skew_note = ""right-skewed"".",Every load and every key number gets a guard: a line of code that shouts if reality disagrees with expectation.,"Writing guards after something already broke. The guard's value is catching the problem you didn't expect — install them at load time, every time.",core,8/23/26
py-functions,"Functions: read and modify, don't compose",Python: dose 5 (s10),python-reading,"- def name(parameter): packages a block; return hands back the result. You edit functions here — you are not asked to write them cold.
- The founding case: compare(amenity) runs the same naive-vs-adjusted analysis for any amenity — the function is the package, the loop over amenities is the repetition.
- Reuse pattern: def summarize(column): packages the s6 descriptive block; def load_eastville(): packages the whole cleaning pipeline as one call.
- If you can read a function well enough to change one thing safely, you can audit one.","A function is analysis you trust enough to reuse: name it, feed it a parameter, get the standard output.","Editing inside a function without checking what the parameter controls — change the input, not scattered hard-coded values.",core,8/23/26
recipe-load-clean,🔧 Recipe: load and clean a CSV,Recipes,acquire,"The standard opening block — use it, trust it:
- pd.read_csv('file.csv', encoding=...) → then .head(), .info(), .dtypes to see what arrived.
- Price-as-text fix: df['price'] = df['price'].str.replace('$','').str.replace(',','').astype(float).
- Duplicates: df.duplicated() to count, df.drop_duplicates(subset=['house']) to fix — subset names the column that defines 'same record.'
- Save the cleaned file with .to_csv(); downstream work reads the clean file, never re-cleans.
By s6 you can explain each piece; on day one you only need to run it and check the result.","Loading isn't done until you've verified what arrived: row count, column types, and whether any 'number' is secretly text.","Running the chain without the checks — the recipe's value is the verification after it, not the incantation itself.",recipe,8/23/26
py-out-of-scope,Out of scope: Python we deliberately cut,Course frame,python-reading,"Cut and stays cut: while loops · try/except · .loc/.iloc and the index concept · list comprehensions · OOP/classes.
- Masks plus column selection cover everything this course does; the cut items add power you don't need at reading-fluency cost you can't afford.
- If an AI hands you code using these, that's normal — you can ask it to rewrite with course constructs, or flag the cell as recipe-tier.
- Python is complete by session 10. Cycle 2 adds zero new core Python; everything after is fluency.",We read a small dialect fluently rather than a large one badly — anything outside it gets translated in or trusted as a recipe.,"Believing you're behind because online examples use comprehensions or .loc. Different dialect, not deeper knowledge.",out-of-scope,8/23/26
apis-pagination,"APIs, JSON, and the pagination problem",Acquire,acquire,"- An API answers requests with structured records — dictionaries — usually in pages (e.g., 25 records per response), not all at once.
- One page looks complete. It isn't: the loop that requests every page and extends one list is what makes the pull complete.
- The check is a count you can defend: does the assembled table's row count match what the source says exists?
- pd.DataFrame(records) turns the accumulated list of dicts into a table. This is the 'beyond Excel' move — no spreadsheet does this.","When data comes from a feed, completeness is our job: we prove we got everything, not assume the first response was all of it.",Partial pull: analyzing page 1 as if it were the population. The numbers compute fine — on a quarter of reality.,core,8/23/26
sql-translation,SQL as a third syntax for known ideas,Acquire,acquire,"- SELECT/WHERE/GROUP BY/ORDER BY/JOIN are pandas ideas in warehouse clothing: WHERE is a mask, GROUP BY is groupby, JOIN is merge.
- New syntax, zero new concepts — every clause sits beside its pandas twin. pd.read_sql brings results back to familiar ground.
- SQL matters because real data lives in warehouses; the analyst who can read the query can audit what was pulled.
- Join danger transfers too: a join can multiply rows (fan-out) in SQL exactly as merge can in pandas.",Same filter-group-summarize logic you know — third language. What matters is checking the row count after every join.,"Treating SQL as a new subject. It's translation; the diseases (fan-out, NULLs) transfer with the concepts.",core,8/23/26
llm-extractor,🔧 LLM as extractor — with a checking step,Acquire,acquire,"- An LLM can turn unstructured text (documents, descriptions) into columns — a black-box recipe cell with one non-negotiable attachment: the checking step.
- The check: sample the extractions against the source text and count agreement; an extractor you haven't spot-checked is a rumor generator.
- Fluency is the hazard: extracted values arrive formatted and confident whether or not they're right.",The model read the documents and filled the table; we verified a sample by hand before trusting any column.,Confident misextraction: shipping LLM-extracted columns unchecked because they look clean. Clean-looking is what wrong looks like now.,core,8/23/26
dz-type-confusion,Disease: type confusion,Loading files,acquire,"- Numbers stored as text (""$249,310"", ""48.5M"", dates as strings) load without error and then fail or lie under arithmetic and sorting.
- Symptom: .info() shows 'object' where you expected a number; .mean() errors or a sort orders alphabetically.
- Headline trap of the Loading topic. Cure: check dtypes at load; apply the cleaning chain; re-verify with a computed statistic you can eyeball.",Is every column that should be a number actually a number? Formatted exports routinely aren't.,"Trusting appearance over dtype. A column can display as prices and be text — the failure surfaces two steps later, blamed on the wrong cell.",core,8/23/26
dz-silent-row-loss,Disease: silent row loss,Cleaning/manipulation,acquire,"- Rows disappear without announcement — a dropna(), a filter, a join — and the analysis proceeds on a quietly different population.
- The catastrophic form (s19): dropna() on the loan file deletes essentially every defaulter, because a rate field is blank for 99.5% of defaulters and 0% of payers. Default rate 'improves' from 24.6% to zero.
- Headline trap of Cleaning. Cure: row-count guards before and after every dropping operation, plus a check of who left.","Between raw and analyzed, how many rows did we lose, at which step, and do the lost rows differ from the kept ones?","Believing missingness is random. When the blanks correlate with the outcome, dropping them doesn't clean the data — it deletes the phenomenon.",core,8/23/26
dz-duplicate-rows,Disease: duplicate rows,Cleaning/manipulation,acquire,"- The same record appears more than once (relisted homes, re-submitted loans), silently inflating counts and shifting averages toward the duplicated cases.
- Eastville's teaching file arrives with 111 rows for 108 homes — the first mystery you solve.
- Secondary trap of Cleaning (headline: silent row loss). Cure: define what makes a record unique, count duplicated() on that key, drop_duplicates(subset=...), and re-verify n.","Is one row one real thing? If the same house can appear twice, every average is quietly wrong.",Deduplicating on the entire row when the ID column defines uniqueness — twins on every field except a timestamp survive the cleanse.,core,8/23/26
dz-fan-out,Disease: fan-out duplication (the join face),Joins,acquire,"- Joining tables at different grains multiplies rows: loans joined to payments puts one loan on many rows; Eastville's warehouse join turns 8,400 rows into 9,100.
- Every downstream aggregate then overweights the multiplied records — same arithmetic as duplicate rows, manufactured by the join.
- Headline trap of the Joins topic, in both pandas merge and SQL JOIN. Cure: know each table's grain before joining; compare row counts before and after; if counts grew, say why or fix it.","After every join: did the row count change, and does the result's grain still match the question's grain?",Assuming a join only adds columns. Joins can add rows — and a grown table silently changes what every average means.,core,8/23/26
dz-null-surprise,Disease: NULL surprise,SQL-specific,acquire,"- In SQL, NULLs vanish from comparisons and aggregates without notice: WHERE amount > 0 drops NULL rows silently; AVG ignores them; COUNT(col) ≠ COUNT(*).
- The query runs clean and the answer is computed on an unannounced subset.
- Headline trap of the SQL topic; secondary: a biased slice at source (the warehouse view was already filtered before you arrived).
- Cure: count NULLs per column first; know whether each aggregate includes or excludes them; ask what filter created the view you were handed.","Which rows does this query silently ignore, and was the table already someone else's filtered opinion before we queried it?","Assuming SQL treats missing like pandas does. NULL logic is its own regime, and 'the query ran' proves nothing about completeness.",core,8/23/26
dz-partial-pull,Disease: partial pull,API/web acquisition,acquire,"- Acquisition stops early — one page of a paginated API, a truncated export, a capped query — and the fragment is analyzed as the whole.
- Everything downstream computes correctly on incomplete reality; no error message will ever fire.
- Headline trap of Acquisition; secondary: structure drift (the source changes format mid-pull and later records parse wrong).
- Cure: an expected-count check against the source, plus the completion loop, plus a guard: if len(df) != expected: warn.",How do we know we have all of it? 'The download finished' and 'the data is complete' are different claims.,"Trusting a clean-looking first page. Completeness is proven with a count, never assumed from tidiness.",core,8/23/26
dz-misextraction,Disease: confident misextraction,LLM-as-extractor,acquire,"- An LLM extractor returns wrong values with perfect formatting: plausible rents, invented dates, the right schema around wrong facts.
- Unlike a crashed parser, nothing signals failure — the errors are only visible against the source text.
- Headline trap of the LLM topic. Cure: hand-verify a random sample against the source; report the agreement rate with the extraction; never trust a column you haven't sampled.",Machine-extracted columns come with an error rate; we measured ours on a sample before using the data.,Equating well-formatted with correct. Fluent structure is the LLM's default even when the content is fabricated.,core,8/23/26
dz-found-data,Disease: found-data bias,LLM-as-extractor,acquire,"- A convenient found dataset embeds its collection process: who's in it, who's missing, and what rule generated the outcome.
- The course exhibit: the rejected loan_approval file — 4,269 rows, demographic splits suspiciously near 50/50, and approval driven almost entirely by one rule (cibil_score > 550 → ~95% approval). It's synthetic, and it teaches whatever its generator assumed.
- Secondary trap of the LLM/found-data topic. Cure: interrogate provenance before columns — who collected this, how, and what can it not contain?","Before using found data: where did it come from, who is missing from it, and could its patterns be the collector's rules rather than the world's?","Auditing only the columns. A pristine file can be unusable because the collection process, not the values, carries the bias.",core,8/23/26
describe-one-variable,"Describing one variable: center, spread, shape",Analyze: describe,analyze-describe,"- .describe(), .quantile(), .sort_values(), and a histogram give center, spread, and shape; Excel anchor: the descriptive-stats ribbon and sorting.
- Center is a choice: Eastville's mean price is $341,395, its median $331,715 — the gap is the outliers' signature (skew 1.25, a $675K home in a $197K–$675K range).
- Report the median when the distribution is skewed and say so; report both when the audience needs the total (means scale to totals; medians don't).",Typical Eastville home: about $332K (median); the mean runs $10K higher because a few large homes pull it up.,"Defaulting to the mean because it's familiar. Under skew the mean describes the outliers' gravity, not the typical case.",core,8/23/26
groupby-compare,Comparing groups: groupby and aggregation,Analyze: describe,analyze-describe,"- df.groupby('school')['price'].mean() computes one summary per group — the Pivot Table, written down. .agg() takes several summaries at once.
- Always carry the group sizes: an average without its n is a rumor. Eastville's 3-car-garage homes average $496K — on eight homes.
- The naive basement comparison lives here: basement homes (n=91) average $65,160 more than the rest (n=17). True, and not yet meaningful.",Group A runs $X above group B — based on n of each — and the groups may differ in other ways we haven't controlled.,"Reading a group gap as the feature's worth. A raw gap is a fact about the groups, not a price for the feature.",core,8/23/26
rates-shares,Rates and shares: value_counts and crosstab,Analyze: describe,analyze-describe,"- value_counts() counts categories; normalize=True turns counts into shares — the difference between '91 homes have basements' and '84% of homes do.'
- crosstab / pivot_table cross two categoricals: basement rate by school zone (91% in Apple Valley vs 74% in Plum Ridge) is how composition differences surface.
- These composition tables are the confound-hunting instrument: they show that groups differ in several ways at once.","Show the mix, not just the counts: what share of each group has the feature, and does that mix differ across segments?",Comparing raw counts across groups of different sizes — shares compare; counts mislead.,core,8/23/26
correlation-scatter,Correlation and the scatter plot,Analyze: describe,analyze-describe,"- .corr() puts a number (−1 to 1) on linear association; the scatter shows what the number summarizes — and what it hides.
- Excel anchor: CORREL and the scatter chart.
- Correlation is symmetric and causeless: sqft and price move together; the number doesn't say which drives which, or whether a third thing drives both.",These two move together (r = X); whether one causes the other is a separate question we haven't answered.,"Reading r as importance or causation. A strong correlation is a lead, not a verdict — and a curved pattern can hide behind a modest r.",core,8/23/26
dz-mean-skew,Disease: mean under skew,1-variable description,analyze-describe,"- 'Typical' is reported as the mean while the printed distribution is visibly right-skewed — the number describes the tail's pull, not the common case.
- Eastville is the modest version (mean exceeds median by ~$10K); incomes and housing markets supply drastic ones.
- Headline trap of one-variable description. Cure: histogram first, mean-vs-median check, and a caption naming which center you chose and why.",Which 'typical' are we reporting — the average dollar or the middle case — and would the audience decide differently under the other one?,"Assuming mean and median tell one story. Under skew they diverge, and the mean flatters whichever tail is long.",core,8/23/26
dz-small-groups,Disease: small-group extremes,Aggregation/groupby,analyze-describe,"- The most extreme group averages are the smallest groups: Eastville's 3-car homes average $496,349 on n=8; 1-car homes $258,335 on n=4.
- Small samples wander far from truth by luck alone, so a ranked table of group means is often a ranked table of sample sizes in disguise.
- Headline trap of Aggregation. Cure: print n beside every group mean; refuse to headline any group below a sanity threshold; say 'based on 8 homes' out loud.",The extreme cells of any breakdown are usually the thin ones — check the n before believing the ranking.,Headlining the best or worst segment without its sample size. The 'top segment' on n=4 is noise wearing a crown.,core,8/23/26
dz-confounded-gap,Disease: the confounded gap,2-variable comparison,analyze-describe,"- A raw group gap is narrated as the feature's value while the groups differ in other ways: Eastville's basement homes carry more beds (3.7 vs 3.3), more baths (2.7 vs 2.4), and sit disproportionately in the expensive school zone — 'basement homes are better homes in several ways at once.'
- The cycle-1 signature disease and exam 1's signature flaw; the fireplace's $52,343 raw 'premium' is the kill shot — it belongs almost entirely to the size and equipment of fireplace homes.
- Secondary: subgroup reversal (Simpson's) — a gap can shrink, vanish, or flip inside every subgroup.
- Cure: composition check first (how else do the groups differ?), then adjustment by regression.","Before pricing the feature: the groups differ in [these other ways], so the raw gap bundles all of them — here's the gap after controls.",Saying 'the basement is worth $65K.' The honest naive sentence is: basement homes sell for $65K more — and they're different homes.,core,8/23/26
dz-truncated-axis,Disease: the truncated axis,Visualization,analyze-describe,"- A bar chart's y-axis starts above zero, visually inflating a small difference into a dramatic one; the numbers are honest, the geometry lies.
- Ratios of bar heights are the perceptual message — truncation breaks the ratio while leaving the labels technically true.
- Headline trap of Visualization. Cure: bars start at zero; if a zoomed view is genuinely needed, an axis break or an explicit callout says so.",Does the picture's drama match the numbers' drama? Check where the axis starts before trusting a chart's story.,Defending the chart because the labels are correct. Charts persuade through geometry; correct labels on distorted geometry still deceive.,core,8/23/26
simple-regression,Simple regression: the trendline with receipts,Analyze: inference,analyze-inference,"- price ~ sqft fits the line Excel's scatter trendline draws — now with readable output: slope $142.8/sqft, R² = .596.
- Predict by hand: 500 extra sqft ≈ $71K along the fitted line. The slope is dollars per one unit of x; multiply for your scenario.
- R² is the share of price variation the line accounts for — .60 means sqft alone tracks most of the story, not all of it.
- The fitted range matters: Eastville's largest home is 3,222 sqft; the line knows nothing about 5,000.","Within the range we observed, each additional square foot associates with about $143 — explaining roughly 60% of price variation.",Treating the slope as a causal price and the line as valid beyond the data's edge.,core,8/23/26
multiple-regression,Multiple regression: adjustment and the three fates,Analyze: inference,analyze-inference,"- Adding controls (price ~ basement + sqft + age + beds + baths + school + style) asks: what's the basement gap among otherwise-similar homes? C(school) tells the model a column is categorical.
- The three fates — a naive number under honest controls can survive, shrink, or evaporate. Eastville: the $65K naive basement gap shrinks to a far smaller premium that survives; the $52K fireplace 'premium' vanishes (indistinguishable from zero); the sqft answer barely moves — some numbers are robust.
- No Excel twin exists for this. That absence is why the course exists.",Controlling for what else the house is: the basement premium shrinks but survives; the fireplace premium was never real; square footage was honest all along.,Reading every coefficient shrinkage as 'the effect is fake.' The fates differ — the skill is saying which fate your number met.,core,8/23/26
confidence-intervals,Confidence intervals: the honest give-or-take,Analyze: inference,analyze-inference,"- A coefficient is an estimate; the 95% CI is the range of values the data can't rule out. At n=108, those ranges are wide — visibly wide.
- The accountability lesson: a premium whose CI runs from near-zero to several times the point estimate cannot be quoted as a crisp number.
- Interval honesty is a memo requirement: every signed number carries its give-or-take, and 'give or take almost everything' is a finding.","The best estimate is $X, give or take $Y — and if the low end changes the decision, the decision isn't settled.",Quoting the point estimate alone. The interval is not fine print; at this sample size it is most of the message.,core,8/23/26
recipe-ols,🔧 Recipe: the regression incantation,Recipes,analyze-inference,"- smf.ols('price ~ sqft + basement', data=df).fit() — formula on the left of ~ is the outcome, terms on the right are predictors, C(col) wraps categoricals.
- .summary() prints the table; you read coef, the 95% CI, and R². The rest of the printout is not course material.
- Recipe-tier: you will never derive this. Understand-tier is reading its output correctly — that part is examinable.","The machinery is standard; the deliverable is the correct English reading of three numbers: the coefficient, its interval, and the fit.",Anxiety over the summary table's twenty statistics. Three are yours; the rest are someone else's exam.,recipe,8/23/26
dz-corr-causation,Disease: correlation as causation,Correlation/simple regression,analyze-inference,"- Association gets narrated as mechanism: 'sqft drives price,' 'engagement causes retention' — when the data shows co-movement only.
- Regression doesn't fix this; a coefficient is still an association, now with controls. Causal language requires design (experiments, natural variation), not just fit.
- Headline trap of the Correlation topic. Cure: write associations in association language; reserve 'drives/causes/adds' for claims your design can carry.","Homes with more X sell for more — the data supports 'associated with,' not 'because of.'",Believing controls purchase causation. Adjustment removes named confounds; it cannot certify the mechanism.,core,8/23/26
dz-extrapolation,Disease: extrapolation,Correlation/simple regression,analyze-inference,"- The fitted line is quoted beyond the data's range: Eastville's model, fit on homes up to 3,222 sqft, asked to price a 5,000 sqft home.
- Outside the observed range the line is arithmetic without evidence — the relationship may bend, saturate, or break where you have no data.
- Secondary trap of the Correlation topic. Cure: state the fitted range with every prediction; refuse scenarios outside it or label them speculation.",Our model has seen homes from A to B square feet; outside that range it's guessing in a straight line.,Trusting the formula because it computes. It always computes — the data's edge is where its authority ends.,core,8/23/26
dz-coef-misreading,Disease: coefficient misreading,Multiple regression,analyze-inference,"- The regression is right and the sentence about it is wrong: units mangled (per-sqft read as per-500-sqft), a categorical coefficient read against the wrong baseline, or certainty claimed that the CI doesn't support.
- The deep disease behind it: omitted variables — controls remove only what you named; the adjusted number still carries everything you didn't.
- Headline trap of Multiple regression; exam 1 realizes it as correct output under wrong narration. Cure: for every coefficient sentence — right units? right baseline? claim within the CI? what plausible confound is still missing?","Each coefficient sentence gets checked three ways: the unit, the comparison baseline, and whether the interval actually licenses the claim.",Auditing the code and skipping the prose. In practice the model is usually fine — the sentence about it is where analyses lie.,core,8/23/26
risk-desk-framing,The risk desk: dollarized error costs,Analyze: prediction,analyze-prediction,"- Cycle 2's frame is the risk desk, not the loan office: the portfolio behind an MBS, where errors have prices from day one.
- A missed defaulter (false negative) carries the exposure — the average loan in our book runs ≈ $332K. A false alarm (false positive) costs an origination fee.
- The asymmetry is the whole game: with a ~25% default rate and that cost ratio, optimizing raw accuracy optimizes the wrong money.",Our two mistakes have different prices — missing a defaulter costs orders of magnitude more than flagging a good loan — so we tune for the expensive one.,Evaluating a lending model like a trivia quiz. Symmetric scoring of asymmetric mistakes produces confident models that lose money.,core,8/23/26
logistic-probabilities,"Logistic regression: probabilities, not labels",Analyze: prediction,analyze-prediction,"- Logistic regression outputs a default probability per loan (0 to 1), not a yes/no. The label comes later, when a threshold converts probability to decision.
- Separating score from decision is the point: the model estimates risk; the desk chooses what risk to tolerate.
- Fair-lending note: protected attributes (gender, age) are excluded from features on camera — an ECOA obligation, not a modeling preference.","The model doesn't approve or reject — it prices risk. Where we draw the line is a business policy, made by us.",Reading model output as verdicts. The probability is the model's; the cutoff — and its consequences — are yours.,core,8/23/26
train-test,Train/test discipline,Analyze: prediction,analyze-prediction,"- Split before anything else: fit on the training set, report performance only on the held-out test set. Test data must be untouched by every fitting decision.
- Training performance is a memory test; test performance is the forecast of behavior on loans you haven't seen — the only number the desk cares about.
- The discipline is procedural, not statistical: it fails through workflow leaks (peeking, reusing, shopping), not through math errors.","Every performance number we quote comes from data the model never saw — otherwise it's a memorization score, not a forecast.","Reporting training accuracy as expected performance, or letting any modeling choice touch the test set before the final measurement.",core,8/23/26
